team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
STRICTLY BIZ,.simas,0.596,0.571,25.0,0.78,286.0,0.612,0.38,0.0,0.0,0.716,1.25,1.183,3.25,0.507,11.54,0.757,1.0
REBELLION,2Piece,1.033,0.878,38.46,1.163,426.31,0.999,0.62,0.998,0.46,1.409,2.46,0.954,2.62,1.035,23.53,0.583,0.77
TEAM G.A.S.,AYYJAYY,0.651,0.623,27.27,0.889,326.09,0.145,0.09,0.976,0.45,1.197,2.09,0.794,2.18,0.183,4.17,1.03,1.36
DELETED,Andy,1.29,1.191,52.17,1.22,447.48,1.611,1.0,1.324,0.61,1.123,1.96,1.394,3.83,1.149,26.14,0.56,0.74
NRG ESPORTS,Atomic,1.311,1.605,70.27,1.044,382.76,1.562,0.97,1.345,0.62,0.71,1.24,1.271,3.49,1.227,27.91,0.901,1.19
NRG ESPORTS,BeastMode,1.278,1.605,70.27,1.076,394.73,1.305,0.81,1.476,0.68,0.836,1.46,1.172,3.22,1.108,25.21,1.143,1.51
GENG MOBIL 1,CHEESE.,1.325,1.092,47.83,1.292,473.65,1.885,1.17,1.128,0.52,1.22,2.13,1.362,3.74,1.381,31.4,0.757,1.0
9LIVES,Chicago,0.998,1.276,55.88,0.915,335.59,0.805,0.5,1.085,0.5,0.894,1.56,0.899,2.47,0.89,20.24,1.204,1.59
ULTIMATES,Chronic,1.032,1.096,48.0,1.012,371.2,0.902,0.56,1.302,0.6,0.962,1.68,1.019,2.8,0.879,20.0,0.666,0.88
TECH,Comm,0.93,0.761,33.33,0.892,327.22,1.256,0.78,0.477,0.22,0.825,1.44,0.808,2.22,1.539,35.0,2.438,3.22
PIRATES,Creamz,1.041,0.761,33.33,0.958,351.33,1.208,0.75,1.627,0.75,0.573,1.0,0.939,2.58,1.276,29.03,0.757,1.0
STRICTLY BIZ,Crispy,0.718,0.571,25.0,1.009,370.12,0.403,0.25,0.542,0.25,1.432,2.5,1.048,2.88,0.383,8.7,0.568,0.75
NRG ESPORTS,Daniel,1.322,1.605,70.27,1.203,441.22,1.256,0.78,1.584,0.73,1.1,1.92,1.172,3.22,1.072,24.37,0.863,1.14
COMPLEXITY,Diaz,1.165,1.413,61.9,1.035,379.52,1.385,0.86,0.716,0.33,1.008,1.76,1.198,3.29,1.147,26.09,0.863,1.14
ULTIMATES,Firstkiller,1.065,1.096,48.0,1.065,390.36,1.031,0.64,1.302,0.6,0.917,1.6,1.063,2.92,0.964,21.92,1.151,1.52
PIRATES,Fiv3Up,1.059,0.761,33.33,1.068,391.5,1.079,0.67,1.454,0.67,1.048,1.83,0.757,2.08,1.407,32.0,1.075,1.42
TEAM G.A.S.,GarrettG,0.762,0.623,27.27,1.016,372.73,0.725,0.45,0.391,0.18,1.197,2.09,0.826,2.27,0.879,20.0,0.962,1.27
DELETED,Gyro.,0.991,1.191,52.17,0.862,315.91,0.983,0.61,0.933,0.43,0.745,1.3,0.856,2.35,1.14,25.93,0.757,1.0
WURSTLSTAND,Jazii,0.827,0.571,25.0,0.988,362.25,0.805,0.5,0.825,0.38,1.077,1.88,1.048,2.88,0.765,17.39,1.703,2.25
OMELETTE,LionBlaze,0.874,1.038,45.45,0.832,305.0,0.725,0.45,0.781,0.36,0.831,1.45,0.63,1.73,1.157,26.32,0.893,1.18
ULTIMATES,Lj,1.065,1.096,48.0,1.0,366.56,1.289,0.8,0.868,0.4,0.848,1.48,1.019,2.8,1.256,28.57,0.787,1.04
REBELLION,Paarth,0.958,0.878,38.46,1.014,371.92,0.741,0.46,1.172,0.54,1.277,2.23,0.812,2.23,0.91,20.69,0.522,0.69
