team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
NOMSTER,.jelly.  ,0.976,0.569,25.0,0.797,300.75,1.487,1.0,0.913,0.5,0.427,0.75,0.764,2.12,1.899,47.06,0.803,1.0
STARTPOINT,AcroniK.,1.016,1.057,46.43,1.134,427.82,0.684,0.46,1.497,0.82,1.179,2.07,0.941,2.61,0.719,17.81,1.003,1.25
DIGNITAS,ApparentlyJack,1.075,1.219,53.57,0.991,374.07,0.848,0.57,1.442,0.79,0.997,1.75,1.146,3.18,0.725,17.98,1.573,1.96
GEEKAY ESPORTS,Archie,1.101,1.3,57.14,0.965,364.0,1.13,0.76,1.132,0.62,0.758,1.33,1.392,3.86,0.797,19.75,1.3,1.62
KARMINE CORP,Atow Rikow !,1.345,1.911,84.0,1.019,384.48,1.249,0.84,1.752,0.96,0.661,1.16,1.096,3.04,1.115,27.63,1.894,2.36
SAVE THE GAME,AztraL,1.064,1.138,50.0,1.082,408.33,1.115,0.75,0.913,0.5,1.043,1.83,0.84,2.33,1.297,32.14,1.204,1.5
F4WD,Compact,0.834,0.325,14.29,1.251,472.0,1.056,0.71,0.256,0.14,1.544,2.71,1.237,3.43,0.84,20.83,0.458,0.57
TEAM VITALITY,ExoTiiK,1.216,1.248,54.84,1.084,409.0,1.725,1.16,0.767,0.42,0.883,1.55,1.06,2.94,1.596,39.56,0.851,1.06
SAVE THE GAME,Extra,1.004,1.138,50.0,0.93,350.92,1.115,0.75,0.602,0.33,0.9,1.58,0.75,2.08,1.452,36.0,0.867,1.08
RRG,Gawfs,0.782,0.325,14.29,1.012,382.0,0.848,0.57,0.529,0.29,1.305,2.29,0.671,1.86,1.241,30.77,1.605,2.0
ASCEND,GiuK,1.171,1.187,52.17,1.231,464.65,0.967,0.65,1.351,0.74,1.51,2.65,0.768,2.13,1.235,30.61,2.023,2.52
GEEKAY ESPORTS,Joyo,1.11,1.3,57.14,0.961,362.62,1.204,0.81,1.132,0.62,0.735,1.29,0.945,2.62,1.247,30.91,0.69,0.86
REDEMPTION,Kash,0.841,0.91,40.0,0.991,373.8,0.297,0.2,0.913,0.5,1.31,2.3,1.37,3.8,0.212,5.26,0.321,0.4
CALIENTE,Kaydop,0.834,0.91,40.0,0.865,326.5,0.446,0.3,1.278,0.7,0.912,1.6,0.973,2.7,0.448,11.11,0.401,0.5
100%,LuiisP,1.081,1.138,50.0,1.096,413.5,1.145,0.77,0.913,0.5,1.139,2.0,0.963,2.67,1.16,28.75,1.043,1.3
TEAM VITALITY,M0nkey M00n,1.234,1.248,54.84,1.163,438.9,0.907,0.61,2.062,1.13,1.288,2.26,1.013,2.81,0.881,21.84,0.803,1.0
TEAM JJROX,MaRc_By_8.,0.743,0.758,33.33,0.884,333.42,0.491,0.33,0.456,0.25,1.327,2.33,0.57,1.58,0.849,21.05,1.003,1.25
ASCEND,Mat.,1.095,1.187,52.17,1.049,395.7,0.967,0.65,1.424,0.78,0.969,1.7,0.815,2.26,1.164,28.85,1.043,1.3
F4WD,Mikeboy,0.608,0.325,14.29,0.847,319.57,0.0,0.0,1.04,0.57,1.139,2.0,1.287,3.57,0.0,0.0,1.373,1.71
STARTPOINT,Mittaen,0.954,1.057,46.43,0.937,353.75,1.115,0.75,0.456,0.25,0.957,1.68,1.067,2.96,1.021,25.3,1.405,1.75
ASCEND,Nico,1.291,1.187,52.17,1.275,481.3,1.68,1.13,1.113,0.61,1.236,2.17,1.128,3.13,1.457,36.11,0.907,1.13
NIP,Oski,1.033,1.177,51.72,0.976,368.24,1.026,0.69,1.132,0.62,0.763,1.34,1.157,3.21,0.868,21.51,0.746,0.93
NOMSTER,Rebmob_.,1.028,0.569,25.0,1.139,429.88,1.115,0.75,1.132,0.62,1.424,2.5,0.811,2.25,1.345,33.33,0.498,0.62
RRG,Rizex,0.754,0.325,14.29,0.911,343.71,0.639,0.43,1.296,0.71,0.815,1.43,0.566,1.57,1.1,27.27,1.148,1.43
TEAM JJROX,Rxii,0.848,0.758,33.33,0.933,352.17,0.996,0.67,0.31,0.17,1.094,1.92,0.963,2.67,1.009,25.0,0.803,1.0
RRG,Rysfox.,0.548,0.325,14.29,0.767,289.43,0.431,0.29,0.256,0.14,1.06,1.86,0.826,2.29,0.504,12.5,1.035,1.29
M8 ALPINE,Seikoo,1.009,0.827,36.36,0.949,358.09,1.621,1.09,0.657,0.36,0.518,0.91,1.211,3.36,1.308,32.43,0.441,0.55
