team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
JUICERS!,! Sultan.,0.891,0.597,25.0,1.081,393.0,1.154,0.88,0.219,0.12,1.361,2.0,0.947,2.5,1.214,35.0,2.074,2.62
BLUE TORCH,.,0.742,0.797,33.33,0.78,283.44,0.734,0.56,0.402,0.22,0.755,1.11,0.716,1.89,1.02,29.41,0.791,1.0
ELEOROO,.Aziz,1.052,0.797,33.33,1.02,370.78,1.167,0.89,1.023,0.56,1.286,1.89,1.136,3.0,1.028,29.63,1.322,1.67
RREDEEMERS,Abscrazy,0.845,1.086,45.45,0.974,354.09,0.472,0.36,0.822,0.45,1.177,1.73,0.792,2.09,0.603,17.39,1.227,1.55
JUNGLE JUICERS!,BaconHero,0.941,0.956,40.0,0.929,337.8,0.918,0.7,1.096,0.6,0.68,1.0,1.25,3.3,0.736,21.21,1.108,1.4
GOD SPEED,Blue,0.972,1.295,54.17,0.954,346.79,0.656,0.5,0.84,0.46,1.245,1.83,0.712,1.88,0.925,26.67,0.728,0.92
OVERLOOKED,Breezi,0.821,0.797,33.33,0.941,342.22,0.879,0.67,0.402,0.22,0.98,1.44,0.841,2.22,1.041,30.0,0.617,0.78
RREDEEMERS,Bunney,0.99,1.086,45.45,1.052,382.55,0.839,0.64,0.657,0.36,1.483,2.18,0.928,2.45,0.899,25.93,1.583,2.0
BLUE TORCH,Burn,1.102,0.797,33.33,1.121,407.56,1.312,1.0,1.224,0.67,1.136,1.67,1.095,2.89,1.201,34.62,0.791,1.0
LUMINOSITY,Catalysm,1.448,1.955,81.82,1.203,437.32,1.495,1.14,1.735,0.95,0.776,1.14,1.413,3.73,1.058,30.49,0.934,1.18
DEKUBOP,Dansku_,0.908,0.836,35.0,1.034,375.8,0.787,0.6,0.822,0.45,1.259,1.85,0.966,2.55,0.816,23.53,1.068,1.35
BLUE TORCH,Echo,0.849,0.797,33.33,0.881,320.33,0.734,0.56,1.023,0.56,0.83,1.22,0.716,1.89,1.02,29.41,0.348,0.44
MACHI'S MINIONS,Hireo,1.451,0.0,0.0,1.692,615.0,2.623,2.0,1.826,1.0,1.701,2.5,1.894,5.0,1.387,40.0,1.187,1.5
ELEOROO,Jushu,0.785,0.797,33.33,0.872,317.11,0.433,0.33,1.625,0.89,0.381,0.56,1.053,2.78,0.416,12.0,1.053,1.33
RREDEEMERS,KAIZEN,0.896,1.086,45.45,0.899,326.64,0.721,0.55,0.657,0.36,1.116,1.64,0.757,2.0,0.946,27.27,0.863,1.09
OVERLOOKED,Kevin,0.992,0.797,33.33,1.147,416.89,0.734,0.56,1.826,1.0,0.98,1.44,0.924,2.44,0.788,22.73,0.966,1.22
LOKOMOTIV,Kroado,1.227,1.673,70.0,1.009,366.9,1.115,0.85,1.278,0.7,0.953,1.4,0.966,2.55,1.156,33.33,0.791,1.0
ELEOROO,Kylo,0.87,0.797,33.33,0.841,305.78,1.167,0.89,0.201,0.11,0.83,1.22,0.799,2.11,1.461,42.11,0.879,1.11
LOKOMOTIV,LCT,1.331,1.673,70.0,1.161,422.1,1.443,1.1,1.37,0.75,0.919,1.35,1.288,3.4,1.122,32.35,1.029,1.3
KINOTROPE,Lunatic.,1.103,1.401,58.62,0.904,328.59,1.036,0.79,1.26,0.69,0.728,1.07,0.981,2.59,1.064,30.67,1.203,1.52
ELEVATE,Maxeew,0.957,1.195,50.0,0.896,325.85,0.734,0.56,1.078,0.59,0.898,1.32,0.826,2.18,0.891,25.68,1.678,2.12
EXECUTIONERS,Mohanned,1.115,1.521,63.64,0.973,353.86,1.01,0.77,1.004,0.55,0.837,1.23,1.379,3.64,0.737,21.25,0.609,0.77
JUICERS!,Mu,0.497,0.597,25.0,0.515,187.38,0.328,0.25,0.0,0.0,0.762,1.12,0.379,1.0,0.867,25.0,0.696,0.88
JUNGLE JUICERS!,Nym,0.841,0.956,40.0,0.819,297.8,0.262,0.2,1.826,1.0,0.749,1.1,0.909,2.4,0.289,8.33,1.029,1.3
ELEVATE,Oscillon,1.057,1.195,50.0,1.065,387.03,1.036,0.79,0.913,0.5,1.082,1.59,0.947,2.5,1.102,31.76,1.116,1.41
DEKUBOP,Porsas,0.934,0.836,35.0,0.947,344.4,0.721,0.55,0.913,0.5,1.429,2.1,0.663,1.75,1.09,31.43,1.227,1.55
SMALL ESPORTS,Profile,0.753,0.0,0.0,1.157,420.5,0.879,0.67,0.31,0.17,1.817,2.67,1.072,2.83,0.816,23.53,0.657,0.83
JUICERS!,RayaGoat,1.108,0.597,25.0,1.241,451.0,1.469,1.12,0.913,0.5,1.443,2.12,0.992,2.62,1.487,42.86,1.583,2.0
KINOTROPE,ReaLize,1.173,1.401,58.62,1.06,385.21,1.089,0.83,1.388,0.76,0.959,1.41,1.098,2.9,0.991,28.57,0.902,1.14
SENZA ESPORTS,Sozya1,0.964,0.911,38.1,1.029,374.0,0.879,0.67,1.041,0.57,1.102,1.62,1.026,2.71,0.852,24.56,0.681,0.86
LUMINOSITY,Sphinx,1.383,1.955,81.82,1.115,405.27,1.246,0.95,1.662,0.91,0.864,1.27,1.36,3.59,0.922,26.58,1.227,1.55
GOD SPEED,Squig,1.071,1.295,54.17,0.974,354.25,1.036,0.79,0.603,0.33,1.218,1.79,0.727,1.92,1.433,41.3,1.417,1.79
MACHI'S MINIONS,Tank,0.611,0.0,0.0,0.703,255.5,0.656,0.5,0.913,0.5,0.68,1.0,0.568,1.5,1.156,33.33,0.791,1.0
ELEVATE,ThO.,1.182,1.195,50.0,1.191,433.0,1.312,1.0,1.297,0.71,0.98,1.44,1.246,3.29,1.053,30.36,0.301,0.38
JUNGLE JUICERS!,Tossis.,0.937,0.956,40.0,0.858,311.9,1.312,1.0,0.365,0.2,0.68,1.0,1.25,3.3,1.051,30.3,0.712,0.9
GOD SPEED,Vantage,1.192,1.593,66.67,0.875,318.0,1.312,1.0,1.224,0.67,0.456,0.67,0.882,2.33,1.487,42.86,1.322,1.67
SMALL ESPORTS,Waavy._,0.651,0.0,0.0,0.826,300.33,0.879,0.67,0.913,0.5,0.565,0.83,0.882,2.33,0.991,28.57,0.791,1.0
EXECUTIONERS,Weins,1.111,1.521,63.64,0.993,360.82,0.721,0.55,1.406,0.77,1.116,1.64,0.913,2.41,0.785,22.64,0.831,1.05
EXECUTIONERS,bad,1.246,1.521,63.64,1.154,419.55,1.43,1.09,0.913,0.5,1.082,1.59,1.204,3.18,1.189,34.29,1.33,1.68
LOKOMOTIV,ballerrees,1.404,1.673,70.0,1.262,458.65,1.312,1.0,1.735,0.95,1.225,1.8,1.42,3.75,0.925,26.67,0.712,0.9
OVERLOOKED,dvku.,1.077,0.797,33.33,1.2,436.22,1.167,0.89,1.023,0.56,1.436,2.11,1.22,3.22,0.957,27.59,1.322,1.67
KINOTROPE,furlashh,1.024,1.401,58.62,0.876,318.38,1.089,0.83,0.749,0.41,0.633,0.93,1.057,2.79,1.028,29.63,1.805,2.28
SENZA ESPORTS,hxll0.,0.98,0.911,38.1,1.087,395.14,0.813,0.62,1.132,0.62,1.232,1.81,1.064,2.81,0.764,22.03,0.831,1.05
SMALL ESPORTS,kuro,0.674,0.0,0.0,0.882,320.5,0.656,0.5,0.913,0.5,1.136,1.67,0.632,1.67,1.041,30.0,0.53,0.67
MACHI'S MINIONS,machi,0.507,0.0,0.0,0.536,195.0,0.656,0.5,0.913,0.5,0.0,0.0,0.568,1.5,1.156,33.33,0.791,1.0
SENZA ESPORTS,paraapelka,0.984,0.911,38.1,1.018,370.14,1.18,0.9,0.95,0.52,0.714,1.05,1.189,3.14,0.999,28.79,0.831,1.05
DEKUBOP,regser,0.915,0.836,35.0,1.002,364.1,0.853,0.65,0.639,0.35,1.327,1.95,0.776,2.05,1.1,31.71,0.791,1.0
GOD SPEED,risk,1.042,1.252,52.38,1.111,403.86,0.931,0.71,0.877,0.48,1.136,1.67,1.098,2.9,0.853,24.59,1.203,1.52
LUMINOSITY,sosa,1.393,1.955,81.82,1.14,414.45,1.613,1.23,1.078,0.59,0.864,1.27,1.481,3.91,1.089,31.4,0.72,0.91
