team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
XNIGHTMARE,7atem,0.724,0.624,25.0,0.815,289.25,0.611,0.38,0.793,0.38,0.777,1.25,0.761,1.88,0.825,20.0,0.639,0.75
INFAMOUS,Abdulaziz,0.311,0.0,0.0,0.665,236.33,0.0,0.0,0.688,0.33,0.728,1.17,0.607,1.5,0.0,0.0,0.707,0.83
TEAM X,Abdullah,1.112,0.98,39.29,1.05,372.75,1.319,0.82,1.189,0.57,0.889,1.43,1.344,3.32,1.02,24.73,1.311,1.54
TWISTED MINDS,AtomiK,1.239,1.693,67.86,1.037,368.18,1.271,0.79,1.043,0.5,0.865,1.39,1.4,3.46,0.935,22.68,1.456,1.71
BOV,B2seL,1.003,1.426,57.14,0.947,336.38,0.692,0.43,1.001,0.48,0.921,1.48,1.137,2.81,0.629,15.25,1.294,1.52
AL QADSIAH,DrKnown,1.025,1.29,51.72,0.949,336.97,0.772,0.48,1.085,0.52,1.008,1.62,1.174,2.9,0.688,16.67,1.379,1.62
AWAWA,Fsol,1.042,1.143,45.83,1.097,389.71,0.611,0.38,1.398,0.67,1.449,2.33,0.911,2.25,0.688,16.67,0.954,1.12
TEAM X,Ghaazi,1.064,0.98,39.29,0.979,347.61,0.869,0.54,1.794,0.86,0.889,1.43,1.012,2.5,0.884,21.43,1.005,1.18
TEAM ESPADA,Hisoka,1.152,1.134,45.45,1.214,431.18,0.724,0.45,1.898,0.91,1.412,2.27,0.992,2.45,0.764,18.52,0.698,0.82
LORE,JSM !,0.536,0.0,0.0,0.729,259.0,0.531,0.33,0.0,0.0,0.622,1.0,0.271,0.67,2.062,50.0,1.422,1.67
TEAM FALCONS,Kiileerrz,1.425,1.919,76.92,1.104,391.92,1.303,0.81,1.606,0.77,1.151,1.85,1.198,2.96,1.125,27.27,0.587,0.69
SLEEPING,M7md,1.132,0.832,33.33,1.111,394.44,1.512,0.94,1.043,0.5,1.039,1.67,1.19,2.94,1.323,32.08,1.609,1.89
MTS,M7sn,1.406,1.663,66.67,1.18,419.21,1.544,0.96,1.481,0.71,1.088,1.75,1.23,3.04,1.3,31.51,0.817,0.96
XNIGHTMARE,MAJID,0.318,0.0,0.0,0.812,288.5,0.0,0.0,0.0,0.0,1.866,3.0,0.202,0.5,0.0,0.0,0.426,0.5
XNIGHTMARE,Mohammed.,0.837,0.624,25.0,0.956,339.5,0.611,0.38,1.043,0.5,1.244,2.0,0.656,1.62,0.952,23.08,0.528,0.62
INFAMOUS,MySTeriOuS,0.557,0.0,0.0,1.014,360.0,0.531,0.33,0.355,0.17,1.244,2.0,0.741,1.83,0.75,18.18,2.128,2.5
INN,N...,1.118,1.134,45.45,1.141,405.09,1.464,0.91,0.563,0.27,1.076,1.73,1.214,3.0,1.25,30.3,1.234,1.45
INFAMOUS,NX | Bang,1.151,0.624,25.0,1.289,457.75,1.609,1.0,0.793,0.38,1.555,2.5,1.368,3.38,1.222,29.63,0.851,1.0
