team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
TREE LAMP,bora,0.43,0.0,0.0,0.864,315.67,0.274,0.17,0.356,0.17,1.052,1.83,0.756,2.0,0.356,8.33,0.594,0.83
COMPLEXITY,crr,1.074,1.341,55.41,0.975,356.23,1.032,0.64,1.048,0.5,0.862,1.5,1.031,2.73,0.995,23.27,0.966,1.35
WASSUP,druee,1.256,1.008,41.67,1.14,416.42,1.483,0.92,1.572,0.75,1.104,1.92,0.975,2.58,1.518,35.48,1.253,1.75
TREE LAMP,dvo,0.51,0.0,0.0,0.802,292.83,0.532,0.33,0.356,0.17,0.96,1.67,0.756,2.0,0.713,16.67,0.358,0.5
STRICTLY BIZ,eek$o,0.982,0.951,39.29,1.03,376.14,0.871,0.54,1.131,0.54,1.087,1.89,1.024,2.71,0.844,19.74,0.924,1.29
SPACESTATION,frosty,1.228,1.434,59.26,1.255,458.17,1.048,0.65,1.404,0.67,1.248,2.17,1.356,3.59,0.772,18.04,1.009,1.41
WURSTLSTAND,hazo,0.643,0.605,25.0,0.837,305.62,0.193,0.12,0.796,0.38,1.006,1.75,1.088,2.88,0.186,4.35,0.537,0.75
PIRATES,hocke,0.957,0.999,41.3,0.963,351.52,0.919,0.57,1.006,0.48,0.885,1.54,0.911,2.41,1.002,23.42,0.916,1.28
9LIVES,hockser,1.14,1.34,55.38,1.045,381.63,0.967,0.6,1.446,0.69,1.0,1.74,1.122,2.97,0.864,20.21,0.823,1.15
THE WOO,jovan,0.988,0.807,33.33,1.085,396.22,0.903,0.56,1.173,0.56,1.213,2.11,0.797,2.11,1.126,26.32,1.747,2.44
REBELLION,justin.,1.131,1.187,49.06,1.073,391.89,1.467,0.91,0.838,0.4,0.834,1.45,1.341,3.55,1.092,25.53,0.945,1.32
THE WOO,kisai,1.228,0.807,33.33,1.143,417.33,1.435,0.89,1.634,0.78,1.15,2.0,0.839,2.22,1.711,40.0,0.401,0.56
9LIVES,kxfyr(?),1.218,1.34,55.38,1.121,409.54,1.435,0.89,1.069,0.51,1.0,1.74,1.164,3.08,1.24,29.0,2.169,3.03
WASSUP,life^^,1.194,1.008,41.67,0.962,351.42,1.612,1.0,1.215,0.58,0.673,1.17,0.85,2.25,1.901,44.44,1.131,1.58
TALLADEGA,night.,0.793,0.605,25.0,0.924,337.62,0.613,0.38,0.796,0.38,1.219,2.12,1.039,2.75,0.583,13.64,0.358,0.5
TECH,oEvoh,0.901,0.88,36.36,0.988,360.91,0.661,0.41,1.048,0.5,1.202,2.09,0.858,2.27,0.77,18.0,1.983,2.77
TALLADEGA,oath,0.934,0.605,25.0,0.909,332.0,1.612,1.0,0.251,0.12,0.644,1.12,0.945,2.5,1.711,40.0,1.16,1.62
OMELETTE,percy.,1.04,1.046,43.24,1.043,381.0,1.129,0.7,0.901,0.43,1.023,1.78,1.133,3.0,1.002,23.42,0.558,0.78
WURSTLSTAND,pzy,0.785,0.605,25.0,0.929,339.12,1.0,0.62,0.251,0.12,0.931,1.62,1.039,2.75,0.972,22.73,0.444,0.62
TEAM EVO,relatingwave,0.984,1.21,50.0,0.926,338.3,0.903,0.56,0.88,0.42,0.885,1.54,0.869,2.3,1.042,24.35,0.83,1.16
LOTUS 8,ren,0.949,0.807,33.33,1.096,400.22,1.08,0.67,0.461,0.22,1.34,2.33,1.092,2.89,0.987,23.08,0.48,0.67
ALMOST NUTS,repeat,0.816,0.807,33.33,0.711,259.67,0.709,0.44,1.173,0.56,0.512,0.89,0.797,2.11,0.9,21.05,1.589,2.22
SPACESTATION,reveal,1.177,1.434,59.26,1.027,375.13,1.193,0.74,1.131,0.54,0.977,1.7,0.994,2.63,1.205,28.17,1.217,1.7
ALMOST NUTS,skippy0',0.995,0.807,33.33,1.006,367.33,1.257,0.78,0.922,0.44,0.828,1.44,1.05,2.78,1.198,28.0,0.795,1.11
TREE LAMP,swazz,0.399,0.0,0.0,0.751,274.17,0.274,0.17,0.0,0.0,1.15,2.0,0.314,0.83,0.855,20.0,0.716,1.0
TECH,tawk,1.137,0.88,36.36,1.233,450.36,1.322,0.82,1.152,0.55,1.282,2.23,1.288,3.41,1.027,24.0,0.816,1.14
ALMOST NUTS,tcorrell,1.006,0.807,33.33,1.073,391.89,0.903,0.56,0.922,0.44,1.598,2.78,1.05,2.78,0.855,20.0,2.069,2.89
LOTUS 8,well^1,1.027,0.807,33.33,0.865,315.78,0.903,0.56,1.865,0.89,0.638,1.11,0.631,1.67,1.426,33.33,1.274,1.78
WASSUP,xprt,1.047,1.008,41.67,1.177,429.83,0.806,0.5,1.048,0.5,1.627,2.83,0.786,2.08,1.027,24.0,1.017,1.42
Average,,1.0,,41.324,,365.208,,0.62,,0.477,,1.739,,2.647,,23.379,,1.397
