team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
DIGNITAS,ApparentlyJack,0.992,0.972,42.31,1.053,385.46,0.939,0.58,1.052,0.5,0.988,1.69,1.292,3.58,0.719,16.13,1.57,2.0
GEEKAY ESPORTS,Archie,1.016,1.094,47.62,1.02,373.48,1.149,0.71,0.8,0.38,0.866,1.48,1.083,3.0,1.062,23.81,0.746,0.95
KARMINE CORP,Atow.,1.221,1.856,80.77,0.985,360.38,1.117,0.69,1.221,0.58,0.696,1.19,1.151,3.19,0.967,21.69,1.295,1.65
SAVE THE GAME,AztraL,0.906,0.766,33.33,1.042,381.58,0.809,0.5,0.884,0.42,1.17,2.0,0.66,1.83,1.216,27.27,1.177,1.5
SYNERGY,Dorito,0.923,0.836,36.36,1.018,372.45,0.89,0.55,0.947,0.45,0.959,1.64,1.245,3.45,0.704,15.79,0.502,0.64
SELECAO,Ever. .,0.636,0.657,28.57,0.837,306.29,0.227,0.14,0.61,0.29,1.17,2.0,0.877,2.43,0.262,5.88,1.232,1.57
TEAM VITALITY,ExoTiiK,1.211,1.723,75.0,0.941,344.54,1.004,0.62,1.494,0.71,0.778,1.33,0.931,2.58,1.079,24.19,0.981,1.25
SAVE THE GAME,Extra,0.747,0.766,33.33,0.876,320.5,0.68,0.42,0.358,0.17,1.024,1.75,0.873,2.42,0.769,17.24,0.785,1.0
RRG,Gawfs,0.999,0.94,40.91,0.944,345.55,1.036,0.64,1.157,0.55,0.848,1.45,1.148,3.18,0.892,20.0,1.319,1.68
ASCEND,GiuK,1.106,0.919,40.0,1.112,407.0,0.971,0.6,1.052,0.5,1.462,2.5,0.541,1.5,1.784,40.0,2.276,2.9
NOVO ESPORTS,Hyderr (new binds),1.098,0.574,25.0,1.168,427.62,1.425,0.88,1.305,0.62,1.17,2.0,1.173,3.25,1.201,26.92,0.785,1.0
GEEKAY ESPORTS,Joyo,1.08,1.094,47.62,1.067,390.62,0.923,0.57,1.494,0.71,0.977,1.67,1.238,3.43,0.744,16.67,0.785,1.0
REDEMPTION,Kash,0.822,0.0,0.0,1.058,387.33,1.344,0.83,0.694,0.33,0.977,1.67,1.263,3.5,1.062,23.81,0.526,0.67
CALIENTE,Kaydop,1.112,1.149,50.0,1.119,409.42,1.085,0.67,0.884,0.42,1.462,2.5,1.021,2.83,1.05,23.53,0.33,0.42
100%,LuiisP,1.117,1.284,55.88,1.122,410.68,0.809,0.5,1.178,0.56,1.515,2.59,0.733,2.03,1.099,24.64,0.926,1.18
TEAM VITALITY,M0nkey M00n,1.196,1.723,75.0,1.02,373.5,1.085,0.67,0.884,0.42,1.146,1.96,1.097,3.04,0.978,21.92,1.044,1.33
ASCEND,Mat.,0.942,0.919,40.0,0.953,348.7,1.133,0.7,0.421,0.2,1.053,1.8,1.191,3.3,0.946,21.21,0.235,0.3
SELECAO,MayKinhoo,0.962,0.657,28.57,0.968,354.43,1.392,0.86,0.905,0.43,0.585,1.0,0.978,2.71,1.409,31.58,1.232,1.57
STARTPOINT,Mittaen,0.579,0.919,40.0,0.691,253.0,0.324,0.2,0.0,0.0,0.877,1.5,0.758,2.1,0.425,9.52,0.942,1.2
ASCEND,Nico,1.29,0.919,40.0,1.162,425.2,1.295,0.8,1.894,0.9,1.404,2.4,0.794,2.2,1.622,36.36,1.02,1.3
NIP,Oski,1.14,1.426,62.07,0.961,351.69,1.068,0.66,1.305,0.62,0.825,1.41,1.169,3.24,0.901,20.21,0.761,0.97
M8 ALPINE,Radosinho,0.812,0.884,38.46,0.901,329.81,0.68,0.42,0.652,0.31,0.965,1.65,0.888,2.46,0.767,17.19,0.934,1.19
RRG,Rizex,1.063,0.94,40.91,1.1,402.73,1.036,0.64,1.347,0.64,1.088,1.86,0.935,2.59,1.095,24.56,0.746,0.95
RRG,Rysfox.,0.976,0.94,40.91,1.048,383.5,1.036,0.64,0.758,0.36,1.117,1.91,1.032,2.86,0.991,22.22,0.644,0.82
M8 ALPINE,Seikoo,0.925,0.884,38.46,0.982,359.62,0.939,0.58,0.8,0.38,1.012,1.73,0.859,2.38,1.079,24.19,0.667,0.85
REDEMPTION,Smokez,0.524,0.0,0.0,0.771,282.17,0.534,0.33,0.694,0.33,0.684,1.17,0.902,2.5,0.595,13.33,1.311,1.67
REDEMPTION,Toxiic,0.589,0.0,0.0,0.741,271.33,0.534,0.33,1.052,0.5,0.778,1.33,0.722,2.0,0.744,16.67,0.785,1.0
KARMINE CORP,Vatira,1.347,1.856,80.77,1.055,386.27,1.748,1.08,0.8,0.38,0.743,1.27,1.097,3.04,1.581,35.44,1.177,1.5
100%,accro,1.201,1.284,55.88,1.119,409.44,1.57,0.97,0.8,0.38,1.0,1.71,1.158,3.21,1.351,30.28,1.248,1.59
STARTPOINT,acro,0.671,0.919,40.0,0.694,254.0,0.486,0.3,0.421,0.2,0.643,1.1,0.541,1.5,0.892,20.0,0.706,0.9
SYNERGY,ajg,0.931,0.836,36.36,0.983,359.91,1.036,0.64,0.758,0.36,0.959,1.64,1.18,3.27,0.867,19.44,1.287,1.64
NOVO ESPORTS,dead,0.876,0.574,25.0,0.989,362.0,1.004,0.62,0.8,0.38,1.024,1.75,0.992,2.75,1.014,22.73,0.691,0.88
KARMINE CORP,dralii,1.375,1.856,80.77,1.095,400.92,1.182,0.73,1.789,0.85,1.012,1.73,1.111,3.08,1.059,23.75,0.816,1.04
CALIENTE,growlii,1.074,1.149,50.0,1.033,378.25,1.085,0.67,1.221,0.58,0.877,1.5,1.054,2.92,1.02,22.86,1.703,2.17
