team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
3RATS,ballerrees,1.244,1.501,57.14,1.146,407.43,0.952,0.64,1.54,0.79,1.342,2.04,0.961,2.43,1.037,26.47,0.844,0.96
90+7,dvku,1.412,1.897,72.22,1.197,425.56,1.488,1.0,1.404,0.72,0.948,1.44,1.21,3.06,1.283,32.73,0.782,0.89
KINOTROPE,furlashh,1.349,1.471,56.0,1.213,431.32,1.785,1.2,0.936,0.48,1.079,1.64,1.17,2.96,1.589,40.54,2.109,2.4
SENZA ESPORTS,hxll0.,0.67,0.0,0.0,1.058,376.0,0.744,0.5,0.643,0.33,1.099,1.67,1.253,3.17,0.619,15.79,0.729,0.83
INTAKE REGION,john666,0.619,0.0,0.0,0.909,323.17,0.997,0.67,0.0,0.0,0.987,1.5,0.921,2.33,1.12,28.57,1.468,1.67
3RATS,k,1.289,1.501,57.14,1.053,374.21,1.592,1.07,1.111,0.57,0.823,1.25,1.115,2.82,1.488,37.97,0.659,0.75
SENZA ESPORTS,paraapelka,0.364,0.0,0.0,0.624,222.0,0.491,0.33,0.0,0.0,0.441,0.67,0.723,1.83,0.712,18.18,1.028,1.17
SOUTHWEST SIDE,ray,1.279,1.126,42.86,1.371,487.57,1.919,1.29,0.273,0.14,1.599,2.43,1.301,3.29,1.533,39.13,0.879,1.0
DEKUBOPDUMNEM,regser,0.996,0.829,31.58,1.081,384.37,0.788,0.53,1.131,0.58,1.487,2.26,0.791,2.0,1.031,26.32,0.976,1.11
GOD SPEED,risk.,1.089,1.094,41.67,1.12,398.17,0.863,0.58,1.306,0.67,1.369,2.08,0.921,2.33,0.98,25.0,0.659,0.75
LUMINOSITY,sosa,2.026,2.507,95.45,1.515,538.55,2.901,1.95,2.125,1.09,0.869,1.32,1.997,5.05,1.518,38.74,0.879,1.0
SOUTHWEST SIDE,yagmaiii.,0.444,0.0,0.0,0.655,233.0,0.0,0.0,0.975,0.5,1.316,2.0,0.593,1.5,0.0,0.0,0.0,0.0
