team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
AWAWA,Yazeed,1.216,1.403,52.63,1.099,391.83,1.447,0.89,0.934,0.46,0.986,1.62,1.27,3.18,1.164,28.1,0.693,0.84
LORE,aboSaeeD,0.734,0.0,0.0,0.807,287.67,1.089,0.67,0.67,0.33,0.408,0.67,0.531,1.33,2.071,50.0,0.825,1.0
INFAMOUS,abood.,0.646,0.205,7.69,0.938,334.46,0.748,0.46,0.304,0.15,0.937,1.54,1.322,3.31,0.578,13.95,0.569,0.69
TEAM ESPADA,ams.,1.101,1.211,45.45,1.209,430.91,1.04,0.64,0.731,0.36,1.491,2.45,1.198,3.0,0.879,21.21,0.297,0.36
INFAMOUS,c,0.56,0.381,14.29,0.658,234.43,0.471,0.29,0.873,0.43,0.347,0.57,0.627,1.57,0.753,18.18,0.941,1.14
INFINITY,cAbdllah,0.995,1.045,39.22,0.968,344.98,0.991,0.61,0.913,0.45,0.98,1.61,1.09,2.73,0.924,22.3,1.922,2.33
TEAM ESPADA,creepy,0.909,1.211,45.45,0.931,331.82,0.894,0.55,0.365,0.18,0.883,1.45,0.763,1.91,1.184,28.57,0.751,0.91
HOPE,iSL6Nii,1.061,1.066,40.0,0.976,347.8,1.04,0.64,1.055,0.52,1.144,1.88,1.086,2.72,0.975,23.53,1.089,1.32
INN,isRakan,1.003,0.888,33.33,0.998,355.89,0.991,0.61,1.137,0.56,1.047,1.72,1.022,2.56,0.991,23.91,0.776,0.94
AAA,ix,0.749,0.381,14.29,0.975,347.71,0.699,0.43,0.873,0.43,1.041,1.71,0.799,2.0,0.888,21.43,0.941,1.14
INVADERS BLUES,k,1.006,0.0,0.0,1.198,427.17,1.349,0.83,1.36,0.67,1.418,2.33,0.931,2.33,1.479,35.71,0.413,0.5
+911,lynx,1.069,1.043,39.13,0.953,339.67,1.089,0.67,1.157,0.57,0.937,1.54,0.791,1.98,1.411,34.07,0.767,0.93
INN,nmj,1.234,1.211,45.45,1.096,390.82,1.04,0.64,2.212,1.09,0.828,1.36,1.342,3.36,0.784,18.92,1.724,2.09
AWAWA,o0vvl,1.149,1.403,52.63,1.046,372.72,0.991,0.61,1.34,0.66,0.998,1.64,1.202,3.01,0.832,20.09,1.51,1.83
INFINITY,oVaMPiERz,1.017,1.045,39.22,1.019,363.33,1.056,0.65,0.873,0.43,1.041,1.71,0.994,2.49,1.076,25.98,1.064,1.29
TWISTED MINDS,rise.,1.345,1.942,72.84,1.044,372.15,1.219,0.75,1.502,0.74,0.84,1.38,1.342,3.36,0.929,22.43,1.015,1.23
SPIES,shadi,1.027,0.888,33.33,1.136,405.0,1.447,0.89,0.0,0.0,1.418,2.33,0.975,2.44,1.506,36.36,2.013,2.44
AAA,t9berh,0.835,0.381,14.29,0.945,337.0,0.699,0.43,1.441,0.71,0.956,1.57,0.627,1.57,1.13,27.27,0.71,0.86
TEAM FALCONS,trk511,1.576,2.007,75.31,1.313,468.02,1.804,1.11,1.685,0.83,1.017,1.67,1.486,3.72,1.239,29.9,0.957,1.16
TEAM BOV,v.ops1,1.14,1.422,53.33,1.024,365.18,1.154,0.71,0.954,0.47,0.998,1.64,1.154,2.89,1.02,24.62,1.667,2.02
INVADERS BLUES,v3ziz.,0.772,0.0,0.0,1.266,451.17,0.536,0.33,1.36,0.67,1.625,2.67,0.667,1.67,0.829,20.0,0.825,1.0
FJS,vfbi,0.897,0.8,30.0,0.904,322.2,0.975,0.6,0.812,0.4,0.852,1.4,0.998,2.5,0.994,24.0,1.073,1.3
ZZZ-1,zeeyad,0.915,0.727,27.27,0.974,347.36,0.894,0.55,1.116,0.55,0.944,1.55,0.907,2.27,0.994,24.0,2.021,2.45
+911,ziyad,0.971,0.96,36.0,1.012,360.68,1.17,0.72,0.568,0.28,0.95,1.56,1.07,2.68,1.113,26.87,0.924,1.12
Average,,1.0,,37.516,,356.477,,0.615,,0.493,,1.643,,2.504,,24.139,,1.212
