team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
REDEMPTION,   JWeyts   ,0.45,0.0,0.0,0.671,240.5,0.523,0.33,0.337,0.17,0.611,1.0,0.772,2.0,0.68,16.67,0.261,0.33
GEEKAY ESPORTS,$ARCHIE,1.376,1.745,74.29,1.171,419.94,1.586,1.0,1.307,0.66,0.891,1.46,1.467,3.8,1.073,26.32,1.035,1.31
STARTPOINT,AcroniK. 0,0.951,1.021,43.48,0.94,336.96,0.968,0.61,0.772,0.39,0.904,1.48,0.788,2.04,1.215,29.79,0.925,1.17
DIGNITAS,ApparentlyJack,1.13,1.607,68.42,0.999,358.0,0.999,0.63,0.832,0.42,1.093,1.79,1.139,2.95,0.874,21.43,1.62,2.05
KARMINE CORP,Atow Rikow !,1.294,1.664,70.83,1.075,385.33,1.253,0.79,1.406,0.71,1.02,1.67,1.158,3.0,1.076,26.39,2.766,3.5
F4WD,Compact,0.68,0.587,25.0,0.971,348.25,0.19,0.12,1.228,0.62,0.916,1.5,1.012,2.62,0.194,4.76,0.885,1.12
SYNERGY,Dorito,1.018,0.783,33.33,1.061,380.42,0.92,0.58,1.485,0.75,1.117,1.83,0.9,2.33,1.02,25.0,0.656,0.83
TEAM VITALITY,ExoTiiK,1.145,1.321,56.25,0.912,327.09,1.095,0.69,1.663,0.84,0.611,1.0,1.135,2.94,0.954,23.4,0.885,1.12
RRG,Gawfs,0.544,0.336,14.29,0.679,243.57,0.0,0.0,1.703,0.86,0.611,1.0,0.718,1.86,0.0,0.0,0.901,1.14
ASCEND,GiuK,0.958,1.007,42.86,1.021,365.93,0.571,0.36,0.99,0.5,1.441,2.36,0.44,1.14,1.274,31.25,2.656,3.36
GEEKAY ESPORTS,Joyo,1.259,1.745,74.29,1.084,388.57,0.952,0.6,1.644,0.83,0.94,1.54,1.301,3.37,0.726,17.8,0.743,0.94
REDEMPTION,Kash,0.854,0.783,33.33,0.929,332.94,0.793,0.5,0.871,0.44,0.916,1.5,1.05,2.72,0.749,18.37,0.838,1.06
CALIENTE,Kaydop,1.047,1.175,50.0,0.931,333.64,1.015,0.64,1.129,0.57,0.873,1.43,0.911,2.36,1.112,27.27,0.285,0.36
100%,LuiisP,1.092,1.226,52.17,0.988,354.04,1.317,0.83,0.95,0.48,0.714,1.17,1.158,3.0,1.123,27.54,1.581,2.0
TEAM VITALITY,M0nkey M00n,1.289,1.321,56.25,1.184,424.34,1.332,0.84,1.426,0.72,1.319,2.16,1.012,2.62,1.311,32.14,0.885,1.12
TEAM JJROX,MaRc_By_8.,0.836,0.783,33.33,0.898,322.0,0.793,0.5,0.653,0.33,1.02,1.67,0.772,2.0,1.02,25.0,0.727,0.92
ASCEND,Mat.,0.905,1.007,42.86,0.849,304.21,0.793,0.5,0.851,0.43,0.788,1.29,0.579,1.5,1.359,33.33,0.79,1.0
F4WD,Mikeboy,0.851,0.587,25.0,1.013,363.12,0.983,0.62,0.495,0.25,0.989,1.62,1.545,4.0,0.637,15.62,1.383,1.75
