team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
PAPO DE VISAO,lxucha,0.809,0.859,37.04,0.917,320.85,0.566,0.33,0.745,0.33,1.132,1.89,0.751,1.89,0.774,17.65,1.125,1.52
MACABROS,mav~~,1.136,0.732,31.58,1.174,410.79,1.526,0.89,0.948,0.42,1.132,1.89,0.859,2.16,1.819,41.46,1.399,1.89
GENESIS,misery,0.82,0.773,33.33,0.996,348.61,0.566,0.33,0.745,0.33,1.299,2.17,0.95,2.39,0.612,13.95,0.659,0.89
GENESIS,"mzkn"")",0.794,0.773,33.33,0.852,298.0,0.669,0.39,0.813,0.36,0.85,1.42,0.962,2.42,0.706,16.09,0.681,0.92
LEAVENOWITNESS,nachosky,0.77,0.464,20.0,0.92,322.0,0.806,0.47,0.745,0.33,0.88,1.47,1.192,3.0,0.683,15.56,1.036,1.4
BLAZAR,nxghtt,1.088,1.109,47.83,0.997,348.96,1.097,0.64,1.31,0.58,0.886,1.48,0.978,2.46,1.136,25.88,0.866,1.17
YONKO,pan.,0.976,1.07,46.15,0.998,349.27,0.72,0.42,1.219,0.54,1.036,1.73,1.085,2.73,0.68,15.49,1.081,1.46
BOCA TEAM,plgabriel,0.93,0.58,25.0,0.975,341.25,0.754,0.44,1.4,0.62,1.269,2.12,0.795,2.0,0.96,21.88,0.555,0.75
BOCA TEAM,reis zoo,0.814,0.725,31.25,0.968,338.69,0.531,0.31,0.994,0.44,1.197,2.0,0.819,2.06,0.665,15.15,1.11,1.5
PAPEL,roblah',0.992,0.58,25.0,0.867,303.5,1.286,0.75,0.565,0.25,0.599,1.0,0.497,1.25,2.633,60.0,0.925,1.25
GRATIA,roods.,0.954,0.966,41.67,1.083,378.92,0.566,0.33,1.513,0.67,1.149,1.92,0.795,2.0,0.731,16.67,0.496,0.67
PAPO DE VISAO,sek,0.873,0.859,37.04,1.047,366.22,0.634,0.37,0.835,0.37,1.287,2.15,0.942,2.37,0.685,15.62,0.962,1.3
OBLIVION ESPORTS,snipjz.,0.878,0.927,40.0,0.978,342.25,0.686,0.4,0.79,0.35,1.108,1.85,1.093,2.75,0.638,14.55,0.629,0.85
OBLIVION ESPORTS,sobral,1.003,1.043,45.0,0.989,346.0,1.2,0.7,0.79,0.35,0.748,1.25,1.014,2.55,1.204,27.45,0.925,1.25
MACABROS,somedieyoung~~,0.834,0.732,31.58,0.879,307.58,0.446,0.26,1.31,0.58,1.132,1.89,0.481,1.21,0.954,21.74,0.777,1.05
LEAVENOWITNESS,sscary,0.59,0.464,20.0,0.803,280.93,0.566,0.33,0.158,0.07,0.838,1.4,0.982,2.47,0.593,13.51,1.28,1.73
FOFOS,starwindss,0.556,0.464,20.0,0.917,320.8,0.12,0.07,0.61,0.27,1.155,1.93,0.902,2.27,0.129,2.94,0.836,1.13
GODFIDENCE,suco,1.069,1.199,51.72,1.007,352.47,1.097,0.64,0.926,0.41,1.006,1.68,1.133,2.85,0.991,22.58,1.073,1.45
TEAM SECRET,swiftt./,1.308,1.614,69.62,1.074,375.7,1.32,0.77,1.49,0.66,0.952,1.59,1.161,2.92,1.159,26.41,1.199,1.62
PAPEL,syzzlk %,1.247,0.58,25.0,1.347,471.25,0.429,0.25,3.387,1.5,2.095,3.5,0.596,1.5,0.731,16.67,2.405,3.25
PAPEL,tgex,1.268,0.58,25.0,1.527,534.25,2.143,1.25,0.565,0.25,1.646,2.75,1.192,3.0,1.828,41.67,0.74,1.0
MACABROS,twistt,0.87,0.732,31.58,1.032,361.11,0.806,0.47,0.587,0.26,1.323,2.21,0.775,1.95,1.067,24.32,0.777,1.05
BLAZAR,wisty,1.129,1.109,47.83,1.089,380.93,1.44,0.84,0.745,0.33,1.066,1.78,1.129,2.84,1.298,29.59,1.214,1.64
FURIA,yANXNZ^^,1.662,1.938,83.58,1.278,447.15,1.989,1.16,2.235,0.99,0.814,1.36,1.538,3.87,1.322,30.12,0.829,1.12
MOONRISE,yanD,0.987,1.041,44.9,1.065,372.55,0.977,0.57,0.7,0.31,1.161,1.94,1.153,2.9,0.865,19.72,0.637,0.86
LEAVENOWITNESS,zett,0.768,0.464,20.0,0.943,330.07,0.806,0.47,0.61,0.27,1.078,1.8,0.926,2.33,0.878,20.0,1.332,1.8
Average,,1.0,,43.131,,349.897,,0.583,,0.443,,1.67,,2.516,,22.791,,1.351
