team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
EXECUTIONERS,bad,1.238,1.584,54.84,1.139,400.97,1.356,0.94,0.945,0.48,1.044,1.58,1.091,2.74,1.232,34.12,1.253,1.45
3RATS,ballerrees,1.359,1.756,60.76,1.219,429.23,1.211,0.84,1.515,0.77,1.281,1.94,1.139,2.86,1.054,29.2,0.933,1.08
VIPERR,bihxn,0.989,0.722,25.0,1.072,377.5,1.442,1.0,0.0,0.0,1.4,2.12,0.896,2.25,1.605,44.44,1.192,1.38
0SEC,dvku.,1.297,1.541,53.33,1.186,417.58,1.384,0.96,1.358,0.69,1.03,1.56,1.194,3.0,1.15,31.85,0.786,0.91
KINOTROPE,furlashh,1.224,1.635,56.58,1.047,368.68,1.384,0.96,0.925,0.47,0.845,1.28,1.147,2.88,1.203,33.33,1.884,2.18
SENZA ESPORTS,hxll0.,1.08,1.023,35.42,1.137,400.52,1.053,0.73,1.141,0.58,1.242,1.88,1.071,2.69,0.98,27.13,0.76,0.88
INTAKE REGION,john666,0.603,0.0,0.0,0.918,323.17,0.966,0.67,0.0,0.0,0.991,1.5,0.928,2.33,1.032,28.57,1.443,1.67
3RATS,k,1.24,1.756,60.76,0.974,342.91,1.168,0.81,1.279,0.65,0.806,1.22,0.96,2.41,1.216,33.68,0.786,0.91
SMALL ESPORTS,kuro,0.701,0.0,0.0,0.91,320.5,0.721,0.5,0.984,0.5,1.103,1.67,0.665,1.67,1.083,30.0,0.579,0.67
MACHI'S MINIONS,machi,0.539,0.0,0.0,0.554,195.0,0.721,0.5,0.984,0.5,0.0,0.0,0.597,1.5,1.203,33.33,0.864,1.0
SENZA ESPORTS,paraapelka,0.964,1.023,35.42,0.924,325.27,1.11,0.77,0.905,0.46,0.608,0.92,0.995,2.5,1.113,30.83,0.968,1.12
DEKUBOP,regser,1.06,1.174,40.62,1.092,384.64,0.923,0.64,1.043,0.53,1.248,1.89,0.975,2.45,0.943,26.11,1.028,1.19
GOD SPEED,risk,1.141,1.379,47.73,1.172,412.66,0.952,0.66,1.122,0.57,1.321,2.0,1.051,2.64,0.903,25.0,1.063,1.23
Rigorous & shisuixnz^^ & AAN1-,shisuixnz^^,1.178,0.722,25.0,1.377,484.88,1.082,0.75,1.732,0.88,1.572,2.38,1.441,3.62,0.747,20.69,1.4,1.62
LUMINOSITY,sosa,1.717,2.471,85.51,1.284,452.32,2.149,1.49,1.515,0.77,0.832,1.26,1.672,4.2,1.283,35.52,0.838,0.97
VIPERR,xeelfine,1.127,0.722,25.0,1.124,395.88,0.894,0.62,2.204,1.12,1.156,1.75,1.294,3.25,0.694,19.23,1.296,1.5
SOUTHWEST SIDE,yagmaiii.,0.446,0.0,0.0,0.662,233.0,0.0,0.0,0.984,0.5,1.321,2.0,0.597,1.5,0.0,0.0,0.0,0.0
Average,,1.0,,34.61,,352.149,,0.693,,0.508,,1.514,,2.512,,27.695,,1.157
