team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
BULLETPROOF,Youngstar,1.11,1.246,52.5,0.983,344.45,1.208,0.85,1.029,0.57,0.851,1.27,1.012,2.58,1.248,33.01,1.181,1.27
INSANITY,ZALO$,0.992,0.749,31.58,1.122,393.0,1.052,0.74,1.047,0.58,1.092,1.63,1.279,3.26,0.854,22.58,0.688,0.74
DECIMATE GAMING,Zany,1.0,1.079,45.45,1.049,367.64,0.91,0.64,0.65,0.36,1.34,2.0,1.177,3.0,0.802,21.21,0.846,0.91
INSANITY,arafar,1.088,0.749,31.58,1.103,386.47,1.421,1.0,1.137,0.63,0.952,1.42,1.26,3.21,1.177,31.15,0.735,0.79
77 BLOCKS,arpet,0.799,0.791,33.33,0.847,296.67,0.952,0.67,0.0,0.0,0.891,1.33,0.655,1.67,1.512,40.0,1.553,1.67
77 BLOCKS,badnezz,0.783,0.593,25.0,0.861,301.75,0.711,0.5,0.902,0.5,0.838,1.25,1.028,2.62,0.72,19.05,1.162,1.25
77BLOCKS,badnezzrl,1.371,1.749,73.68,1.142,399.95,1.577,1.11,1.335,0.74,0.811,1.21,1.24,3.16,1.323,35.0,1.172,1.26
HEY (WITH RIZZ),carca,1.13,1.519,64.0,1.047,366.71,1.037,0.73,0.92,0.51,1.025,1.53,1.083,2.76,1.004,26.57,1.59,1.71
ASTRONIC ESPORTS,cramox,0.896,0.838,35.29,0.971,340.0,0.924,0.65,0.848,0.47,0.831,1.24,1.016,2.59,0.945,25.0,1.153,1.24
MUSTU FLUCK,creamyy,0.854,0.902,38.0,0.864,302.66,0.625,0.44,1.155,0.64,0.737,1.1,1.075,2.74,0.607,16.06,0.93,1.0
GENESIX,declan.0,0.952,0.929,39.13,1.057,370.33,0.767,0.54,1.137,0.63,1.066,1.59,1.067,2.72,0.756,20.0,1.19,1.28
HAIBO,devour,1.011,1.034,43.59,1.054,369.28,0.91,0.64,0.794,0.44,1.361,2.03,1.036,2.64,0.917,24.27,1.599,1.72
WORLD OF TANKS,energizer,1.23,0.593,25.0,1.371,480.25,2.132,1.5,0.902,0.5,1.086,1.62,1.523,3.88,1.463,38.71,0.818,0.88
PONEY NO JUTSU !,ezgles,0.912,0.339,14.29,1.102,386.14,1.62,1.14,0.0,0.0,1.146,1.71,1.063,2.71,1.592,42.11,1.06,1.14
BONI,gamble,1.065,0.791,33.33,1.033,362.0,1.421,1.0,1.209,0.67,0.67,1.0,1.22,3.11,1.215,32.14,0.725,0.78
LE BOSH,insp1re,1.029,1.148,48.39,1.037,363.16,0.938,0.66,0.992,0.55,1.046,1.56,1.087,2.77,0.901,23.84,1.395,1.5
BONI,jori,1.141,0.977,41.18,1.084,379.59,1.251,0.88,1.281,0.71,1.106,1.65,0.993,2.53,1.318,34.88,0.707,0.76
COSMICO ESPORTS,kam,1.181,1.066,44.93,1.298,454.9,1.364,0.96,1.047,0.58,1.26,1.88,1.366,3.48,1.04,27.5,1.19,1.28
TRI-FECTA,kexii,1.029,0.989,41.67,0.996,349.0,1.123,0.79,0.974,0.54,0.925,1.38,1.224,3.12,0.957,25.33,0.772,0.83
TRIFECTA,mass,1.106,1.108,46.67,1.027,359.8,1.037,0.73,1.317,0.73,1.072,1.6,0.914,2.33,1.188,31.43,0.995,1.07
INSANITY,neiko,0.911,0.749,31.58,0.865,303.11,0.895,0.63,1.047,0.58,0.918,1.37,0.91,2.32,1.031,27.27,0.539,0.58
VANGUARD,ramzy,1.068,0.904,38.1,1.145,401.24,1.222,0.86,1.029,0.57,1.052,1.57,0.973,2.48,1.309,34.62,1.413,1.52
HAIBO,ravili.a,1.085,1.034,43.59,1.083,379.41,0.952,0.67,1.335,0.74,1.2,1.79,1.177,3.0,0.84,22.22,1.525,1.64
LE BOSH,rizon,1.074,1.148,48.39,1.076,376.79,1.052,0.74,0.848,0.47,1.24,1.85,0.918,2.34,1.199,31.72,1.079,1.16
HAIBO,skillsteal,1.15,1.034,43.59,1.189,416.69,1.307,0.92,1.119,0.62,1.153,1.72,1.107,2.82,1.237,32.73,1.311,1.41
COSMICO ESPORTS,smallintestine23,1.029,1.092,46.0,1.121,392.66,0.881,0.62,1.047,0.58,1.18,1.76,1.13,2.88,0.814,21.53,1.19,1.28
DECIMATE GAMING,staar,0.996,1.079,45.45,0.989,346.45,0.256,0.18,2.292,1.27,1.159,1.73,0.82,2.09,0.329,8.7,2.111,2.27
DEATH CLOUD,strutic,0.94,1.095,46.15,0.947,331.62,0.654,0.46,1.119,0.62,1.032,1.54,0.907,2.31,0.756,20.0,1.004,1.08
77BLOCKS,twnzr13,0.96,1.483,62.5,0.881,308.75,0.654,0.46,0.758,0.42,0.952,1.42,0.867,2.21,0.784,20.75,1.357,1.46
TRIFECTA,valid,1.148,1.108,46.67,1.045,365.93,1.236,0.87,1.444,0.8,0.851,1.27,1.071,2.73,1.199,31.71,1.237,1.33
TRI-FECTA,valid.,0.715,0.791,33.33,0.776,271.78,0.469,0.33,0.794,0.44,0.744,1.11,0.914,2.33,0.54,14.29,1.339,1.44
CHOCCARANILLA,xyro,0.572,0.183,7.69,0.863,302.23,0.54,0.38,0.415,0.23,0.979,1.46,0.753,1.92,0.756,20.0,1.432,1.54
Average,,1.0,,42.137,,350.331,,0.704,,0.554,,1.492,,2.548,,26.455,,1.076
