team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
TSM,Amphis,0.945,1.179,50.0,0.904,329.29,0.684,0.46,1.078,0.58,0.933,1.5,0.97,2.5,0.709,18.33,0.593,0.71
THE PUPS,Apples,0.836,0.786,33.33,1.075,391.44,0.491,0.33,0.409,0.22,1.934,3.11,0.648,1.67,0.773,20.0,0.652,0.78
GROUND ZERO,Baz,0.993,1.072,45.45,0.957,348.55,0.952,0.64,1.022,0.55,0.902,1.45,1.095,2.82,0.873,22.58,1.061,1.27
THE PUPS,Ben,0.848,0.786,33.33,0.991,360.89,0.833,0.56,0.204,0.11,1.449,2.33,0.776,2.0,1.074,27.78,1.019,1.22
NBTD,Bubz,0.404,0.0,0.0,0.628,228.67,0.253,0.17,0.316,0.17,0.827,1.33,0.26,0.67,0.967,25.0,0.142,0.17
EYELUVSTRAWBEE,Caleb,1.19,1.5,63.64,1.023,372.59,1.22,0.82,1.189,0.64,0.846,1.36,1.234,3.18,0.994,25.71,0.953,1.14
AKIMBO ESPORTS,Chub,0.904,1.072,45.45,1.001,364.55,0.669,0.45,0.669,0.36,1.188,1.91,0.602,1.55,1.137,29.41,1.295,1.55
UNFORGOTTEN,Creedeny,1.0,0.943,40.0,1.0,364.1,0.744,0.5,1.487,0.8,1.119,1.8,0.815,2.1,0.921,23.81,0.836,1.0
OI OI,Fades,1.299,1.375,58.33,1.167,424.88,2.053,1.38,0.706,0.38,0.753,1.21,1.405,3.62,1.467,37.93,0.66,0.79
WILDCARD,Fever,1.453,2.063,87.5,1.158,421.79,1.309,0.88,1.784,0.96,0.933,1.5,1.358,3.5,0.967,25.0,1.671,2.0
HELFIE CHIEFS,Fiberr,1.403,1.463,62.07,1.179,429.17,2.097,1.41,1.226,0.66,0.684,1.1,1.514,3.9,1.403,36.28,0.953,1.14
ABRACADABRA!,Inspire,0.827,0.0,0.0,1.107,403.0,0.744,0.5,1.858,1.0,1.039,1.67,0.904,2.33,0.829,21.43,1.529,1.83
ABRACADABRA!,Kal,0.489,0.0,0.0,0.787,286.5,0.491,0.33,0.316,0.17,0.933,1.5,0.582,1.5,0.859,22.22,0.56,0.67
WALK IN FRIDGE,Kekkles,0.872,0.745,31.58,0.998,363.37,0.699,0.47,0.78,0.42,1.374,2.21,0.939,2.42,0.757,19.57,0.702,0.84
HELFIE CHIEFS,Rezears,1.291,1.463,62.07,1.067,388.38,1.339,0.9,1.914,1.03,0.603,0.97,1.324,3.41,1.015,26.26,1.237,1.48
SOULJAS HENCHMEN,Rooster,0.922,0.907,38.46,0.951,346.38,0.922,0.62,0.576,0.31,1.101,1.77,0.687,1.77,1.345,34.78,1.671,2.0
PWR,Scrub,1.287,1.31,55.56,1.162,423.19,1.547,1.04,1.301,0.7,1.057,1.7,1.238,3.19,1.259,32.56,0.71,0.85
WALK IN FRIDGE,Skworchi,0.72,0.745,31.58,0.868,316.16,0.476,0.32,0.595,0.32,1.082,1.74,0.858,2.21,0.553,14.29,1.32,1.58
TSM,Superlachie,1.152,1.179,50.0,1.12,407.67,1.428,0.96,1.003,0.54,0.883,1.42,1.277,3.29,1.126,29.11,0.66,0.79
SOULJAS HENCHMEN,Timmy OCE,0.838,0.907,38.46,0.894,325.54,0.803,0.54,0.706,0.38,0.765,1.23,0.807,2.08,1.003,25.93,1.412,1.69
WILDCARD,Torsos,1.647,2.063,87.5,1.283,467.17,2.35,1.58,1.319,0.71,0.858,1.38,1.506,3.88,1.58,40.86,1.671,2.0
HELFIE CHIEFS,UltimateHntr97,1.277,1.463,62.07,1.144,416.62,1.279,0.86,1.468,0.79,1.07,1.72,1.285,3.31,1.007,26.04,1.07,1.28
AXO,Vultacus_ live,1.066,0.943,40.0,1.043,379.65,1.487,1.0,0.65,0.35,0.871,1.4,0.99,2.55,1.516,39.22,0.836,1.0
WILDCARD,bananahead,1.626,2.063,87.5,1.204,438.46,1.919,1.29,2.174,1.17,0.597,0.96,1.424,3.67,1.362,35.23,1.153,1.38
OI OI,big gez,1.028,1.375,58.33,0.873,317.88,0.684,0.46,1.319,0.71,0.933,1.5,0.695,1.79,0.989,25.58,1.22,1.46
AKIMBO ESPORTS,cx9,0.973,1.072,45.45,1.172,426.64,0.952,0.64,0.502,0.27,1.244,2.0,1.269,3.27,0.752,19.44,0.836,1.0
NBTD,evoh,0.677,0.0,0.0,0.913,332.33,0.491,0.33,1.245,0.67,1.244,2.0,0.648,1.67,0.773,20.0,0.142,0.17
AXO,ewp,1.022,0.943,40.0,1.034,376.35,0.818,0.55,1.58,0.85,0.964,1.55,1.145,2.95,0.721,18.64,1.63,1.95
GROUND ZERO,finn,0.898,1.072,45.45,0.854,311.0,0.818,0.55,0.836,0.45,0.734,1.18,1.095,2.82,0.748,19.35,1.521,1.82
PWR,gus,1.122,1.31,55.56,1.016,369.85,1.205,0.81,1.096,0.59,0.808,1.3,1.207,3.11,1.013,26.19,1.145,1.37
UNFORGOTTEN,jimmo,0.899,0.943,40.0,0.839,305.5,0.892,0.6,0.743,0.4,0.871,1.4,0.815,2.1,1.105,28.57,0.418,0.5
TSM,kaka,1.022,1.179,50.0,1.044,380.21,0.863,0.58,1.078,0.58,1.008,1.62,1.195,3.08,0.732,18.92,0.418,0.5
EYELUVSTRAWBEE,laxin,1.076,1.5,63.64,0.962,350.18,0.818,0.55,1.264,0.68,0.846,1.36,0.866,2.23,0.947,24.49,0.76,0.91
EYELUVSTRAWBEE,lunR.,1.232,1.5,63.64,1.135,413.36,1.279,0.86,1.096,0.59,1.101,1.77,1.04,2.68,1.245,32.2,0.685,0.82
SUNDAY DRIVE,marky,0.847,0.643,27.27,0.927,337.36,1.086,0.73,0.502,0.27,0.846,1.36,1.199,3.09,0.91,23.53,1.061,1.27
SUNDAY DRIVE,nook,0.75,0.643,27.27,0.888,323.36,0.535,0.36,0.669,0.36,1.132,1.82,1.06,2.73,0.515,13.33,1.521,1.82
GROUND ZERO,pagsi,0.959,1.072,45.45,0.814,296.45,0.952,0.64,1.022,0.55,0.622,1.0,0.741,1.91,1.289,33.33,0.836,1.0
OI OI,prompt,1.128,1.375,58.33,1.053,383.38,0.803,0.54,1.468,0.79,1.194,1.92,0.955,2.46,0.852,22.03,1.187,1.42
THE PUPS,rellec,0.927,0.786,33.33,0.969,352.89,0.654,0.44,1.449,0.78,1.107,1.78,0.776,2.0,0.859,22.22,1.763,2.11
UNFORGOTTEN,remiik,1.021,0.943,40.0,0.961,350.0,1.339,0.9,0.929,0.5,0.622,1.0,1.242,3.2,1.087,28.12,0.669,0.8
PWR,rez,1.092,1.31,55.56,1.012,368.48,0.937,0.63,1.245,0.67,0.97,1.56,1.18,3.04,0.802,20.73,1.203,1.44
SOULJAS HENCHMEN,soulja4life_7,0.949,0.907,38.46,0.894,325.54,0.803,0.54,1.152,0.62,1.051,1.69,0.897,2.31,0.902,23.33,0.577,0.69
ABRACADABRA!,sum,0.802,0.0,0.0,0.877,319.33,1.235,0.83,0.316,0.17,0.933,1.5,0.582,1.5,2.148,55.56,0.142,0.17
NBTD,terms and conditions.,0.855,0.0,0.0,1.191,433.5,1.235,0.83,0.613,0.33,1.449,2.33,1.292,3.33,0.967,25.0,0.978,1.17
AKIMBO ESPORTS,tkay,0.9,1.072,45.45,0.93,338.55,0.535,0.36,1.022,0.55,1.188,1.91,0.637,1.64,0.859,22.22,0.46,0.55
SUNDAY DRIVE,villain arc,0.891,0.643,27.27,1.129,411.0,0.818,0.55,0.669,0.36,1.524,2.45,0.99,2.55,0.829,21.43,1.747,2.09
AXO,zenulous,0.812,0.943,40.0,0.898,326.9,0.521,0.35,0.836,0.45,1.026,1.65,0.893,2.3,0.588,15.22,1.838,2.2
WALK IN FRIDGE,zombiefreak,0.829,0.745,31.58,0.901,328.11,0.937,0.63,0.595,0.32,0.784,1.26,1.083,2.79,0.875,22.64,0.877,1.05
