team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
GODFIDENCE,Aztr,0.975,1.163,50.0,1.036,365.46,0.716,0.39,0.974,0.39,1.185,2.07,0.898,2.39,0.821,16.42,1.91,2.64
GODFIDENCE,Bemmz,0.99,1.163,50.0,1.007,355.25,0.661,0.36,1.249,0.5,1.122,1.96,0.966,2.57,0.695,13.89,0.803,1.11
FEAR OF GOD,Brenox,1.185,1.231,52.94,1.007,355.41,1.194,0.65,1.624,0.65,0.807,1.41,1.281,3.41,0.949,18.97,0.514,0.71
FURIA,DRUFINHO,1.575,1.954,84.0,1.161,409.64,2.057,1.12,1.599,0.64,0.733,1.28,1.307,3.48,1.61,32.18,1.332,1.84
LUK ESPORTS,FirefoxD,0.737,0.332,14.29,0.732,258.29,0.533,0.29,1.424,0.57,0.739,1.29,0.485,1.29,1.112,22.22,0.724,1.0
LUK ESPORTS,Haberkamper -_-,0.519,0.332,14.29,0.768,271.0,0.533,0.29,0.35,0.14,0.492,0.86,0.913,2.43,0.588,11.76,0.825,1.14
MOONRISE,KnS,0.931,1.086,46.67,0.95,335.4,0.735,0.4,0.999,0.4,0.956,1.67,0.875,2.33,0.857,17.14,0.919,1.27
FURIA,Lostt.,1.636,1.954,84.0,1.251,441.52,1.983,1.08,1.699,0.68,1.145,2.0,1.638,4.36,1.239,24.77,0.695,0.96
LUK ESPORTS,Luca$06,0.486,0.332,14.29,0.692,244.14,0.533,0.29,0.0,0.0,0.653,1.14,0.642,1.71,0.834,16.67,0.934,1.29
TEAM SECRET,Motta,1.31,1.329,57.14,1.066,376.14,1.304,0.71,1.974,0.79,0.899,1.57,0.992,2.64,1.352,27.03,0.955,1.32
GENESIS,Rmn',1.015,0.997,42.86,0.903,318.81,1.23,0.67,1.074,0.43,0.492,0.86,0.875,2.33,1.429,28.57,1.52,2.1
NOVUS AEVI,Royales,1.06,1.086,46.67,1.028,362.93,0.973,0.53,1.174,0.47,1.105,1.93,1.078,2.87,0.93,18.6,1.252,1.73
CORINTHIANS,SADNESS,1.107,1.378,59.26,0.997,351.85,0.881,0.48,1.474,0.59,0.87,1.52,0.917,2.44,0.985,19.7,2.439,3.37
OBLIVION ESPORTS,UmBroken,0.875,1.057,45.45,0.992,350.18,0.331,0.18,1.374,0.55,1.145,2.0,0.853,2.27,0.4,8.0,0.724,1.0
