team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
GEEKAY ESPORTS,ARCHIE$,1.093,0.926,43.48,1.072,410.13,1.443,1.0,0.782,0.43,1.1,1.91,1.135,3.17,1.254,31.51,0.981,1.39
DIGNITAS,ApparentlyJack,0.939,0.968,45.45,0.948,362.86,0.924,0.64,0.818,0.45,0.996,1.73,1.042,2.91,0.871,21.88,1.539,2.18
NRG ESPORTS,Atomic,0.952,1.124,52.78,0.904,346.0,0.924,0.64,0.709,0.39,0.944,1.64,0.845,2.36,1.077,27.06,0.84,1.19
KARMINE CORP,Atow.,1.09,1.721,80.77,0.929,355.31,0.938,0.65,0.691,0.38,0.91,1.58,1.171,3.27,0.796,20.0,1.355,1.92
NRG ESPORTS,BeastMode,0.945,1.124,52.78,0.945,361.61,0.88,0.61,0.8,0.44,0.898,1.56,1.035,2.89,0.842,21.15,1.158,1.64
GENG MOBIL 1,CHEESE.,1.017,0.959,45.0,1.097,419.75,1.299,0.9,0.455,0.25,1.123,1.95,0.967,2.7,1.326,33.33,1.129,1.6
LUMINOSITY,Catalysm,1.019,0.785,36.84,1.059,405.0,1.443,1.0,0.764,0.42,0.846,1.47,1.114,3.11,1.281,32.2,0.558,0.79
THE ULTIMATES,Chronic,0.865,1.162,54.55,0.833,318.73,0.649,0.45,0.709,0.39,0.91,1.58,0.781,2.18,0.829,20.83,0.494,0.7
FURIA,DRUFINHO,0.999,1.168,54.84,0.998,381.74,0.981,0.68,0.709,0.39,1.077,1.87,0.902,2.52,1.071,26.92,1.341,1.9
NRG ESPORTS,Daniel,0.846,1.124,52.78,0.878,335.83,0.447,0.31,0.909,0.5,0.961,1.67,1.103,3.08,0.394,9.91,1.546,2.19
COMPLEXITY,Diaz,1.043,0.852,40.0,1.111,425.2,1.155,0.8,0.964,0.53,1.226,2.13,1.218,3.4,0.936,23.53,1.221,1.73
