team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
GODFIDENCE,Aztr,1.066,1.212,54.29,1.01,348.03,1.072,0.63,0.892,0.4,1.045,1.69,0.9,2.26,1.201,27.85,2.599,3.2
CORINTHIANS,BRADK1NG,1.354,1.451,65.0,1.19,410.25,1.617,0.95,1.338,0.6,1.113,1.8,1.353,3.4,1.205,27.94,0.65,0.8
GODFIDENCE,Bemmz,1.151,1.276,57.14,1.102,379.91,1.259,0.74,0.892,0.4,1.15,1.86,1.059,2.66,1.206,27.96,0.788,0.97
FEAR OF GOD,Brenox,0.707,0.812,36.36,0.779,268.45,0.46,0.27,0.602,0.27,0.841,1.36,1.015,2.55,0.462,10.71,0.219,0.27
FURIA,DRUFINHO,1.562,1.747,78.26,1.238,426.83,1.923,1.13,1.851,0.83,0.971,1.57,1.437,3.61,1.352,31.33,1.056,1.3
YONKO,Davitrox,1.237,1.116,50.0,1.083,373.19,1.498,0.88,1.539,0.69,0.853,1.38,1.417,3.56,1.06,24.56,0.812,1.0
LUK ESPORTS,FirefoxD,0.751,0.319,14.29,0.904,311.71,0.97,0.57,0.647,0.29,0.798,1.29,0.911,2.29,1.079,25.0,0.698,0.86
LUK ESPORTS,Haberkamper -_-,0.901,0.319,14.29,0.997,343.57,0.732,0.43,0.647,0.29,1.503,2.43,0.342,0.86,2.157,50.0,0.577,0.71
GRATIA,JG.,0.842,0.93,41.67,0.962,331.67,0.715,0.42,0.558,0.25,1.082,1.75,1.027,2.58,0.696,16.13,1.015,1.25
GODFIDENCE,Kavilla,0.515,2.233,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOONRISE,KnS,0.782,0.93,41.67,0.843,290.5,0.715,0.42,0.379,0.17,0.878,1.42,0.995,2.5,0.719,16.67,1.015,1.25
