team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
LIMITLESS,2Die4,1.477,1.385,62.07,1.374,488.62,2.057,1.52,1.297,0.72,1.231,1.86,1.522,4.0,1.414,37.93,1.512,1.69
BULLETPROOF,ASN_RuBiiX,1.257,1.301,58.33,1.173,416.96,1.245,0.92,1.423,0.79,1.27,1.92,1.077,2.83,1.206,32.35,0.895,1.0
BULLETPROOF,AcePritchards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRONIC ESPORTS,Anyeelo.,0.923,0.787,35.29,0.844,300.0,0.798,0.59,1.279,0.71,0.893,1.35,0.784,2.06,1.065,28.57,0.841,0.94
ASTRONIC ESPORTS,Bairechuu,1.087,0.787,35.29,1.221,434.06,1.191,0.88,0.954,0.53,1.482,2.24,1.297,3.41,0.964,25.86,1.208,1.35
BULLETPROOF,Bryza 0',1.248,1.301,58.33,1.099,390.75,1.692,1.25,1.116,0.62,0.688,1.04,1.286,3.38,1.381,37.04,0.483,0.54
LE BOSH,DAYYS!,0.887,1.022,45.83,0.914,324.79,0.907,0.67,0.522,0.29,0.853,1.29,1.016,2.67,0.932,25.0,1.154,1.29
GENESIX,Dapz,0.828,0.744,33.33,0.892,317.17,0.785,0.58,0.756,0.42,0.88,1.33,0.761,2.0,1.087,29.17,1.494,1.67
DEATH CLOUD,Eliakim,1.183,1.03,46.15,1.248,443.54,1.773,1.31,0.684,0.38,0.966,1.46,1.316,3.46,1.408,37.78,0.823,0.92
GENESIX,Friction,0.893,0.744,33.33,0.792,281.75,1.015,0.75,1.044,0.58,0.549,0.83,0.921,2.42,1.157,31.03,1.271,1.42
COSMICO ESPORTS,Happymeal,0.832,0.939,42.11,0.769,273.47,0.636,0.47,1.134,0.63,0.589,0.89,0.841,2.21,0.799,21.43,0.993,1.11
HAIBO,HotWheel1003,0.515,2.231,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEY (WITH RIZZ),Ivan.,1.08,1.227,55.0,1.08,384.05,0.812,0.6,1.351,0.75,1.158,1.75,1.046,2.75,0.813,21.82,1.118,1.25
DEATH CLOUD,Jeff,0.796,1.03,46.15,0.972,345.54,0.311,0.23,0.684,0.38,1.475,2.23,0.673,1.77,0.486,13.04,0.617,0.69
FUT ESPORTS,Leoro,1.447,1.874,84.0,1.282,455.68,1.732,1.28,1.152,0.64,1.006,1.52,1.248,3.28,1.455,39.02,0.716,0.8
MUSTU FLUCK,Madssssss.,0.863,0.319,14.29,1.1,391.0,1.164,0.86,0.522,0.29,1.231,1.86,1.194,3.14,1.017,27.27,0.895,1.0
BALL EATER,Mira,1.077,0.956,42.86,1.181,419.86,1.069,0.79,1.152,0.64,1.231,1.86,1.115,2.93,1.0,26.83,1.154,1.29
BALL EATER,Qtipz,1.068,0.956,42.86,1.033,367.36,1.448,1.07,0.648,0.36,0.9,1.36,1.004,2.64,1.511,40.54,0.188,0.21
HEY (WITH RIZZ),Revezy,1.172,1.227,55.0,1.156,411.0,1.556,1.15,0.81,0.45,0.794,1.2,1.027,2.7,1.588,42.59,0.716,0.8
MUSTU FLUCK,Rexo,0.659,0.319,14.29,0.933,331.57,0.582,0.43,0.252,0.14,1.231,1.86,1.252,3.29,0.486,13.04,0.769,0.86
LIMITLESS,Snowyy,1.231,1.385,62.07,1.046,371.9,1.259,0.93,1.747,0.97,0.615,0.93,1.13,2.97,1.17,31.4,1.262,1.41
LIMITLESS,Sweaty,1.134,1.385,62.07,1.025,364.52,1.029,0.76,1.243,0.69,0.933,1.41,1.179,3.1,0.911,24.44,1.423,1.59
FUT ESPORTS,TORRES8232,1.291,1.874,84.0,1.076,382.48,1.083,0.8,1.225,0.68,1.138,1.72,1.004,2.64,1.129,30.3,1.288,1.44
BALL EATER,Tjester,0.993,0.956,42.86,0.944,335.64,0.961,0.71,1.026,0.57,0.992,1.5,0.841,2.21,1.203,32.26,0.635,0.71
77 BLOCKS,Twister.,0.842,0.744,33.33,0.997,354.33,0.447,0.33,1.207,0.67,1.323,2.0,0.635,1.67,0.746,20.0,0.295,0.33
FUT ESPORTS,VKSailen,1.443,1.874,84.0,1.223,434.72,1.299,0.96,1.945,1.08,0.979,1.48,1.065,2.8,1.278,34.29,2.541,2.84
COSMICO ESPORTS,Werty ^^,0.91,0.939,42.11,0.939,333.74,0.92,0.68,0.846,0.47,0.767,1.16,1.042,2.74,0.932,25.0,1.127,1.26
BULLETPROOF,Youngstar,1.106,1.301,58.33,0.951,337.96,1.015,0.75,1.351,0.75,0.801,1.21,0.951,2.5,1.118,30.0,1.271,1.42
INSANITY,ZALO$,1.002,0.811,36.36,1.132,402.64,0.988,0.73,1.152,0.64,1.085,1.64,1.244,3.27,0.828,22.22,0.573,0.64
INSANITY,arafar,1.032,0.811,36.36,1.004,356.91,1.11,0.82,1.315,0.73,0.9,1.36,1.21,3.18,0.958,25.71,0.322,0.36
